TemplateId;ItemName;ItemString;Level;RareGrade;CombatItemType;Dungeon;Gear;PowerTier;UpgradeTo;EvolutionSet;UnlockTo;Material_1;MaterialName_1;Amount_1;Material_2;MaterialName_2;Amount_2;Material_3;MaterialName_3;Amount_3;Material_4;MaterialName_4;Amount_4;Material_5;MaterialName_5;Amount_5;Notes;Column1;_1
10593;dual;Disclose & Divulge;11;1;EQUIP_WEAPON;Character Creation;Starter 0;0;10121;STARTER_0;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
10594;lance;Revelation Tree;11;1;EQUIP_WEAPON;Character Creation;Starter 0;0;10122;STARTER_0;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
10595;twohand;Incisive Greatsword;11;1;EQUIP_WEAPON;Character Creation;Starter 0;0;10123;STARTER_0;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
10596;axe;Axe of Manifesto;11;1;EQUIP_WEAPON;Character Creation;Starter 0;0;10124;STARTER_0;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
10597;circle;Darkseeing Lens;11;1;EQUIP_WEAPON;Character Creation;Starter 0;0;10125;STARTER_0;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
10598;bow;Revealing Arc;11;1;EQUIP_WEAPON;Character Creation;Starter 0;0;10126;STARTER_0;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
10599;staff;Praesto Staff;11;1;EQUIP_WEAPON;Character Creation;Starter 0;0;10127;STARTER_0;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
10600;rod;Rod of Revelation;11;1;EQUIP_WEAPON;Character Creation;Starter 0;0;10128;STARTER_0;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
55079;blaster;See Shooter;11;1;EQUIP_WEAPON;Character Creation;Starter 0;0;55020;STARTER_0;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
58245;shuriken;Tattlebriar;11;1;EQUIP_WEAPON;Character Creation;Starter 0;0;58186;STARTER_0;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
59127;glaive;Reconglaive;11;1;EQUIP_WEAPON;Character Creation;Starter 0;0;59068;STARTER_0;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
82079;gauntlet;Feather Dusters;11;1;EQUIP_WEAPON;Character Creation;Starter 0;0;82020;STARTER_0;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
15667;bodyMail;Outrider's Chestpiece;11;1;EQUIP_ARMOR_BODY;Character Creation;Starter 0;0;15136;STARTER_0;;511;Paverune of Arun;2;;;;;;;;;;;;;;;
15670;bodyLeather;Sentry's Jerkin;11;1;EQUIP_ARMOR_BODY;Character Creation;Starter 0;0;15139;STARTER_0;;511;Paverune of Arun;2;;;;;;;;;;;;;;;
15673;bodyRobe;Outrider's Robes;11;1;EQUIP_ARMOR_BODY;Character Creation;Starter 0;0;15142;STARTER_0;;511;Paverune of Arun;2;;;;;;;;;;;;;;;
15668;handMail;Demonslayer Fists;11;1;EQUIP_ARMOR_ARM;Character Creation;Starter 0;0;15137;STARTER_0;;511;Paverune of Arun;2;;;;;;;;;;;;;;;
15671;handLeather;Demonslayer Mitts;11;1;EQUIP_ARMOR_ARM;Character Creation;Starter 0;0;15140;STARTER_0;;511;Paverune of Arun;2;;;;;;;;;;;;;;;
15674;handRobe;Demonslayer Handwraps;11;1;EQUIP_ARMOR_ARM;Character Creation;Starter 0;0;15143;STARTER_0;;511;Paverune of Arun;2;;;;;;;;;;;;;;;
15669;feetMail;Decurion's Greaves;11;1;EQUIP_ARMOR_LEG;Character Creation;Starter 0;0;15138;STARTER_0;;511;Paverune of Arun;2;;;;;;;;;;;;;;;
15672;feetLeather;Decurion's Boots;11;1;EQUIP_ARMOR_LEG;Character Creation;Starter 0;0;15141;STARTER_0;;511;Paverune of Arun;2;;;;;;;;;;;;;;;
15675;feetRobe;Decurion's Shoes;11;1;EQUIP_ARMOR_LEG;Character Creation;Starter 0;0;15144;STARTER_0;;511;Paverune of Arun;2;;;;;;;;;;;;;;;
10121;dual;Pathfinder Pair;17;1;EQUIP_WEAPON;Quest Rewards;Starter 1;0;12265;STARTER_1;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
10122;lance;Duty's Lance;17;1;EQUIP_WEAPON;Quest Rewards;Starter 1;0;12266;STARTER_1;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
10123;twohand;Pathsweeper;17;1;EQUIP_WEAPON;Quest Rewards;Starter 1;0;12267;STARTER_1;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
10124;axe;Chopper;17;1;EQUIP_WEAPON;Quest Rewards;Starter 1;0;12268;STARTER_1;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
10125;circle;Harvest Focus;17;1;EQUIP_WEAPON;Quest Rewards;Starter 1;0;12269;STARTER_1;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
10126;bow;Arrowsvine;17;1;EQUIP_WEAPON;Quest Rewards;Starter 1;0;12270;STARTER_1;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
10127;staff;Staff of Redemption;17;1;EQUIP_WEAPON;Quest Rewards;Starter 1;0;12271;STARTER_1;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
10128;rod;Wand of the Frond;17;1;EQUIP_WEAPON;Quest Rewards;Starter 1;0;12272;STARTER_1;;501;Paverune of Shara;2;;;;;;;;;;;;;;;
