huntingZoneId;zoneName
1;Ruinweald
2;Fey Forest
3;Oblivion Woods
4;Fyrmount
5;Tuwangi Mire
6;Valley of Titans
7;Celestial Hills
8;Hungry Caverns
9;Ascension Valley
10;Serpentis Isle
11;Jagged Coast
12;Mistmoor Island
13;Island of Dawn
15;Cliffs of Insanity
16;Vale of the Fang
17;Paraanon Ravine
18;Colossal Ruins
19;Freeholds
20;Tenebrous Mines
21;Basilisk Crag
22;Eldritch Academy Grounds
23;Lake of Tears
24;Aurum Road
25;Dark Cathedral
26;Blessing Basin
27;Essenian Crest
28;Blightwood
29;Timeless Woods
30;Balder's Refuge
31;Tempest Reach
32;Mount Tyrannas
33;Citadel of Torment
34;Frost Reach
35;Wyrmgorge
36;Tor Exsul
37;Doomcrypt
38;Sienna Canyon
39;Arachnaea
40;Quarantine Zone
41;Feral Valley
42;Temple of Dagon
43;Cathuulrach
44;Ebonmaw
45;Thrallhold
46;Three Towers
47;Tirkai Forest
48;Khanovar Front
49;Argonea
50;Granarkus
51;Vale of Spires
52;Plain of the Damned
53;Labyrinth of Terror
54;Seeliewood
55;Darkquaver Woods
56;Susurrus Woods
57;Amena Quatla
58;Balderon
59;Crescentia
60;Lumbertown
61;Castanica
62;Cutthroat Harbor
63;Velika
64;Tower Base
65;Chebika
66;Tulufan
67;Popolion
68;Pora Elinu
69;Tralion
70;Tria
71;Bastion
72;Allemantheia
73;Acarum
74;Elenea
75;Frontera
76;Kanstria
77;Pathfinder Post
78;Zulfikar Fortress
79;Habere
80;Dragonfall
81;Scythera Fae
83;Bleakrock
84;Kaiator
412;Three Towers Spires
421;Tenebrous Mines
422;Colossal Ruins
423;Azarel's Labyrinth
424;Fane of Kaprima
425;Balder's Temple
426;Argon Corpus
427;Manaya's Core (Hard)
436;Karascha's Lair
437;Tainted Gorge Bridge
438;Mysterious Jungle
443;Wonderholme (Hard)
450;Rift's Edge (Hard)
453;Kezzel's Gorge
463;Susurrus Woods
464;Molten Chamber
471;Necromancer Tomb
472;Golden Labyrinth
473;Ebon Tower
475;Kelsaik's Nest
476;Labyrinth of Terror
478;Suryati's Peak
479;Saravash's Ascent
480;Sigil Adstringo
482;Temple of Temerity
487;Bastion of Lok
488;Sinestral Manor
489;Cultists' Refuge
493;Akasha's Hideout
494;Saleron's Sky Garden
495;Crucible of Flame
496;Sirjuka Gallery
511;The Abscess
611;The Abscess (Hard)
643;Wonderholme
711;The Abscess (Hard)
713;Ghillieglade
724;Fane of Kaprima (Hard)
725;Balder's Temple (Hard)
726;Argon Corpus (Hard)
727;Manaya's Core
743;Wonderholme (Hard)
750;Rift's Edge
754;Bathysmal Rise
766;Shattered Fleet
773;Ebon Tower (Hard)
775;Kelsaik's Nest (Hard)
776;Labyrinth of Terror (Hard)
777;Channelworks
793;Akasha's Hideout (Hard)
801;Nexus Traverse
811;The Abscess
813;Ghillieglade
825;Balder's Temple (Solo)
830;Celestial Arena (Solo)
871;Necromancer Tomb (Solo)
872;Golden Labyrinth (Solo)
873;Ebon Tower (Solo)
887;Bastion of Lok (Solo)
888;Sinestral Manor (Solo)
889;Cultists' Refuge (Solo)
911;Kelsaik's Raid (10-Person Raid)
979;Saravash's Ascent
3001;Bastion of Lok (Solo)
3002;Sinestral Manor (Solo)
3003;Cultists' Refuge (Solo)
3004;Necromancer Tomb (Solo)
3005;Golden Labyrinth (Solo)
3006;Akasha's Hideout (Solo)
3007;Saleron's Sky Garden (Solo)
3008;Labyrinth of Terror (Solo)
3009;Ebon Tower (Solo)
3010;Kelsaik's Nest (Solo)
3011;Manaya's Core (Solo)
