huntingZoneId;npcTemplateId;npcName;npcTitle;territoryType;totalSpawns;minRespawn;maxRespawn;aggressive;hasName;hasParty;level;elite;showAggroTarget;size;resourceType
2;1;Redcap;;normal;102;20000;20000;True;True;True;12;False;False;small;medium
2;2;Furious Faerie;;normal;210;20000;20000;True;True;True;14;False;False;small;medium
2;3;Centaur;;normal;23;20000;20000;True;True;True;12;False;False;medium;medium
2;4;Slinking Sabertooth;;normal;35;20000;20000;True;True;True;12;False;False;medium;medium
2;5;Hulking Sabertooth;;normal;27;20000;20000;True;True;True;13;False;False;medium;medium
2;6;Sullen Unicorn;;normal;7;20000;20000;True;True;True;14;False;False;medium;medium
2;7;Warthog Brute;;normal;10;20000;20000;True;True;True;11;False;False;medium;medium
2;8;Hogling;;normal;75;20000;20000;True;True;True;12;False;False;small;small
2;10;Merciless Jalmarak;;normal;12;20000;20000;True;True;True;14;False;False;medium;medium
2;13;Centaur Insurgent;;normal;16;20000;20000;True;True;False;12;False;False;medium;medium
2;22;Lumbering Sporewalker;;normal;16;20000;20000;True;True;True;14;False;False;medium;medium
2;23;Feisty Terron;;normal;35;20000;20000;True;True;True;14;False;False;small;medium
2;32;Bloated Sporewalker;;normal;13;20000;20000;True;True;True;14;False;False;medium;medium
2;33;Terron Lunatic;;normal;65;20000;20000;True;True;True;14;False;False;small;medium
2;34;Sabertooth;;normal;7;20000;20000;True;True;False;11;False;False;medium;medium
2;52;Faerie Vigilante;;normal;184;20000;20000;True;True;True;12;False;False;small;medium
2;56;Feral Unicorn;;normal;41;20000;20000;True;True;False;14;False;False;medium;medium
2;57;Long Tusk Warthog;;normal;46;20000;20000;True;True;False;11;False;False;medium;medium
2;58;Armored Hogling;;normal;24;20000;20000;True;True;True;12;False;False;small;small
2;59;Runaway Pigling;;normal;8;30000;30000;True;True;False;12;False;False;small;small
2;62;Faerie Rebel;;normal;70;20000;20000;True;True;True;14;False;False;small;medium
2;102;Faerie Renegade;;normal;120;20000;20000;True;True;True;14;False;False;small;medium
2;152;Faerie Insurgent;;normal;102;20000;20000;True;True;False;11;False;False;small;medium
2;202;Faerie Guardians;Pixie Death Band;normal;8;20000;20000;True;True;True;13;False;False;small;medium
